Ticker,Exchange,Exchange Code,Exchange Full Name,Listing Type,Other Listings,Year Listed,IPO Date,Est Lockup 90d,Est Lockup 180d,ISIN,FIGI,Composite FIGI,Share Class FIGI,CIK,LEI,Company Name,Country (HQ),Country (Listing),Country (ISO),Currency,Website,YF Sector,YF Industry,Sector (JP),Subsector (JP),Sub-subsector (JP),Core,Buy Price,Target Price,Date Added,Notes
TSLA,NASDAQ,NMS,NasdaqGS,Primary,,2010,,,,,BBG000N9MNX3,BBG000N9MNX3,BBG001SQKGD7,1318605,,"Tesla, Inc.",United States,United States,USA,USD,https://www.tesla.com,Consumer Cyclical,Auto Manufacturers,Tech,,,Y,,,2026-04-11,
U,NYSE,NYQ,NYSE,Primary,,2020,,,,US91332U1016,BBG0056JW5G6,BBG0056JW5G6,BBG0056JW5H5,1810806,549300D1ESJMGNQNG432,Unity Software Inc,United States,United States,USA,USD,https://unity.com,Technology,Software - Application,Tech,,,Y,,,2026-04-11,
UBER,NYSE,,,Primary,,2019,,,,US90353T1007,BBG002B04MT8,BBG002B04MT8,BBG002B04MW4,1543151,,"Uber Technologies, Inc.",United States,United States,USA,USD,https://www.uber.com,Technology,Software - Application,Tech,,,,,,2026-07-11,
ULS,NYSE,NYQ,NYSE,Primary,,2024,,,,US9037311076,BBG007N72M93,BBG007N72M93,BBG007N72MB0,1901440,,UL Solutions Inc.,United States,United States,USA,USD,https://www.ul.com,Industrials,Specialty Business Services,Industrials,,,,,,2026-04-11,
UPS,NYSE,NYQ,NYSE,Primary,,,,,,US9113121068,BBG000L9CV04,BBG000L9CV04,BBG001SDGSH1,1090727,D01LMJZU09ULLNCY6Z23,United Parcel Service Inc,United States,United States,USA,USD,https://www.ups.com,Industrials,Integrated Freight & Logistics,Industrials,,,Y,,,2026-05-03,
V,NYSE,NYQ,NYSE,Primary,,2008,,,,US92826C8394,BBG000PSKYX7,BBG000PSKYX7,BBG001SRCFY3,1403161,549300JZ4OKEHW3DPJ59,Visa Inc,United States,United States,USA,USD,https://www.visa.com,Financial Services,Credit Services,Financials,,,Y,,,2026-04-11,
VEEV,NYSE,NYQ,NYSE,Primary,,2013,,,,US9224751084,BBG001CGB489,BBG001CGB489,BBG001TX0CB4,1393052,549300YZEXPDB92M2F02,Veeva Systems Inc.,United States,United States,USA,USD,https://www.veeva.com,Healthcare,Health Information Services,Healthcare Services,HIT,,Y,,,2026-07-24,
VLTO,NYSE,NYQ,NYSE,Primary,,2023,,,,US92338C1036,BBG019Q32XJ9,BBG019Q32XJ9,BBG019Q32XK7,1967680,,Veralto Corp,United States,United States,USA,USD,https://www.veralto.com,Industrials,Pollution & Treatment Controls,Industrials,,,Y,,,2026-05-03,
WAY,NASDAQ,NMS,NasdaqGS,Primary,,2024,,,,US9467841055,BBG01JRQSDB9,BBG01JRQSDB9,BBG01JRQSF60,1990354,,Waystar Holding Corp,United States,United States,USA,USD,https://www.waystar.com,Healthcare,Health Information Services,Healthcare Services,HIT,,Y,15.0,,2026-04-11,
XE,NASDAQ,NMS,NASDAQ Global Select,Primary,,2026,2026-04-23,2026-07-22,2026-10-20,US98386P1021,,,,2088896,,"X-Energy, Inc.",United States,United States,USA,USD,https://www.x-energy.com,Industrials,Specialty Industrial Machinery,Energy,Clean Energy / Nuclear SMR,,,,,2026-05-03,
